,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,taste,vanilla,salt,sugar,sweetener,cocoa_butter,lecithin,company_continent,origin_continent,nutty,sweet,cocoa,roasty,creamy,earthy,sandy,fatty,floral,intense,spicy,sour,molasses,woody,vanilla_taste,sticky,fruit,smokey
0,5150,United States,2019,Madagascar,"Bejofo Estate, batch 1",76.0,3.75,3,"cocoa, blackberry, full body",0,0,1,0,1,0,NA,AF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,5150,United States,2019,Dominican republic,"Zorzal, batch 1",76.0,3.5,3,"cocoa, vegetal, savory",0,0,1,0,1,0,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5150,United States,2019,Tanzania,"Kokoa Kamili, batch 1",76.0,3.25,3,"rich cocoa, fatty, bready",0,0,1,0,1,0,NA,AF,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,A. Morin,France,2012,Peru,Peru,63.0,3.75,4,"fruity, melon, roasty",0,0,1,0,1,1,EU,SA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,A. Morin,France,2012,Bolivia,Bolivia,70.0,3.5,4,"vegetal, nutty",0,0,1,0,1,1,EU,SA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,A. Morin,France,2013,Venezuela,Chuao,70.0,4.0,4,"oily, nut, caramel, raspberry",0,0,1,0,1,1,EU,SA,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6,A. Morin,France,2013,Peru,Chanchamayo Province,63.0,4.0,3,"sweet, cocoa, tangerine",0,0,1,0,1,0,EU,SA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,A. Morin,France,2013,Ecuador,Equateur,70.0,3.75,4,"sandy, nutty, cocoa, fig",0,0,1,0,1,1,EU,SA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8,A. Morin,France,2013,Peru,Chanchamayo Province,70.0,3.5,4,"cocoa, sour, intense tangerine",0,0,1,0,1,1,EU,SA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,A. Morin,France,2013,Brazil,Brazil,70.0,3.25,4,mild tobacco,0,0,1,0,1,1,EU,SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,A. Morin,France,2013,Papua new guinea,Papua New Guinea,70.0,3.25,4,"mild fruit, strong smoke",0,0,1,0,1,1,EU,OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,A. Morin,France,2013,Peru,Piura,70.0,3.25,4,"green, nutty, cocoa",0,0,1,0,1,1,EU,SA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,A. Morin,France,2013,Madagascar,"Madagascar, Criollo",70.0,3.0,4,"sticky, red fruit, sour",0,0,1,0,1,1,EU,AF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
13,A. Morin,France,2013,Myanmar,Birmanie,70.0,3.0,4,"sticky, smokey, grass",0,0,1,0,1,1,EU,AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
14,A. Morin,France,2013,Panama,Panama,70.0,2.75,4,"brief fruit note, earthy, nutty",0,0,1,0,1,1,EU,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,A. Morin,France,2013,Colombia,Colombie,70.0,2.75,4,"burnt rubber, alkalyzed notes",0,0,1,0,1,1,EU,SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,A. Morin,France,2014,Peru,Pablino,70.0,4.0,4,"delicate, hazelnut, brownie",0,0,1,0,1,1,EU,SA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",70.0,3.75,4,"astringent, nutty, chocolatey",0,0,1,0,1,1,EU,SA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,A. Morin,France,2014,Cuba,Cuba,70.0,3.5,4,"sliglty dry, papaya",0,0,1,0,1,1,EU,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo",70.0,3.5,4,"nutty, mild choco, roasty",0,0,1,0,1,1,EU,SA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,A. Morin,France,2014,Venezuela,"Carenero, Criollo",70.0,2.75,4,"harsh, leather, earthy",0,0,1,0,1,1,EU,SA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,A. Morin,France,2015,Togo,Akata,70.0,3.5,4,"mild profile, chocolaty, spice",0,0,1,0,1,1,EU,AF,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,A. Morin,France,2015,Peru,Quilla,70.0,3.5,4,"grainy texture, cocoa, sweet",0,0,1,0,1,1,EU,SA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,A. Morin,France,2015,Togo,Atsane,70.0,3.0,4,"roasty, acidic, nutty",0,0,1,0,1,1,EU,AF,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,A. Morin,France,2015,Togo,Kpime,70.0,2.75,4,"burnt wood, earthy, choco",0,0,1,0,1,1,EU,AF,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25,A. Morin,France,2016,Sao Tome and Principe,Agua Grande,63.0,3.75,4,"sweet, chocolatey, vegetal",0,0,1,0,1,1,EU,AF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,A. Morin,France,2018,Peru,Absolu,63.0,3.75,4,"sweet, dairy, spice, cocoa",0,0,1,0,1,1,EU,SA,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
