,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,taste,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,nutty,sweet,cocoa,roasty,creamy,earthy,sandy,fatty,floral,intense,spicy,sour,molasses,woody,vanilla_taste,sticky,fruit,smokey,company_continent,origin_continent
0,2454,5150,United States,3.1333333333333333,Madagascar,"Bejofo Estate, batch 1",76.0,3.75,3,"cocoa, blackberry, full body",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.205074235907952,3.2186609686609686
1,2458,5150,United States,3.1333333333333333,Dominican republic,"Zorzal, batch 1",76.0,3.5,3,"cocoa, vegetal, savory",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205074235907952,3.211668839634941
2,2454,5150,United States,3.1333333333333333,Tanzania,"Kokoa Kamili, batch 1",76.0,3.25,3,"rich cocoa, fatty, bready",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.205074235907952,3.2186609686609686
3,797,A. Morin,France,3.2069444444444444,Peru,Peru,63.0,3.75,4,"fruity, melon, roasty",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.223530513554012,3.2241003271537623
4,797,A. Morin,France,3.2069444444444444,Bolivia,Bolivia,70.0,3.5,4,"vegetal, nutty",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
5,1015,A. Morin,France,3.2148876404494384,Venezuela,Chuao,70.0,4.0,4,"oily, nut, caramel, raspberry",1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.223530513554012,3.2241003271537623
6,1019,A. Morin,France,3.2148876404494384,Peru,Chanchamayo Province,63.0,4.0,3,"sweet, cocoa, tangerine",1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
7,1011,A. Morin,France,3.2148876404494384,Ecuador,Equateur,70.0,3.75,4,"sandy, nutty, cocoa, fig",1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.223530513554012,3.2241003271537623
8,1019,A. Morin,France,3.2148876404494384,Peru,Chanchamayo Province,70.0,3.5,4,"cocoa, sour, intense tangerine",1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
9,1011,A. Morin,France,3.2148876404494384,Brazil,Brazil,70.0,3.25,4,mild tobacco,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223530513554012,3.2241003271537623
