,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,taste,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,nutty,sweet,cocoa,roasty,creamy,earthy,sandy,fatty,floral,intense,spicy,sour,molasses,woody,vanilla_taste,sticky,fruit,smokey
0,2454,5150,U.S.A,2019,Madagascar,"Bejofo Estate, batch 1",76.0,3.75,3,"cocoa, blackberry, full body",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2458,5150,U.S.A,2019,Dominican republic,"Zorzal, batch 1",76.0,3.5,3,"cocoa, vegetal, savory",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2454,5150,U.S.A,2019,Tanzania,"Kokoa Kamili, batch 1",76.0,3.25,3,"rich cocoa, fatty, bready",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,797,A. Morin,France,2012,Peru,Peru,63.0,3.75,4,"fruity, melon, roasty",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,797,A. Morin,France,2012,Bolivia,Bolivia,70.0,3.5,4,"vegetal, nutty",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1015,A. Morin,France,2013,Venezuela,Chuao,70.0,4.0,4,"oily, nut, caramel, raspberry",1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6,1019,A. Morin,France,2013,Peru,Chanchamayo Province,63.0,4.0,3,"sweet, cocoa, tangerine",1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1011,A. Morin,France,2013,Ecuador,Equateur,70.0,3.75,4,"sandy, nutty, cocoa, fig",1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8,1019,A. Morin,France,2013,Peru,Chanchamayo Province,70.0,3.5,4,"cocoa, sour, intense tangerine",1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,1011,A. Morin,France,2013,Brazil,Brazil,70.0,3.25,4,mild tobacco,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1015,A. Morin,France,2013,Papua new guinea,Papua New Guinea,70.0,3.25,4,"mild fruit, strong smoke",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,1019,A. Morin,France,2013,Peru,Piura,70.0,3.25,4,"green, nutty, cocoa",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1011,A. Morin,France,2013,Madagascar,"Madagascar, Criollo",70.0,3.0,4,"sticky, red fruit, sour",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
13,1015,A. Morin,France,2013,Burma,Birmanie,70.0,3.0,4,"sticky, smokey, grass",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
14,1011,A. Morin,France,2013,Panama,Panama,70.0,2.75,4,"brief fruit note, earthy, nutty",1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,1015,A. Morin,France,2013,Colombia,Colombie,70.0,2.75,4,"burnt rubber, alkalyzed notes",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1319,A. Morin,France,2014,Peru,Pablino,70.0,4.0,4,"delicate, hazelnut, brownie",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1319,A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",70.0,3.75,4,"astringent, nutty, chocolatey",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1315,A. Morin,France,2014,Cuba,Cuba,70.0,3.5,4,"sliglty dry, papaya",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,1315,A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo",70.0,3.5,4,"nutty, mild choco, roasty",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1315,A. Morin,France,2014,Venezuela,"Carenero, Criollo",70.0,2.75,4,"harsh, leather, earthy",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,1680,A. Morin,France,2015,Togo,Akata,70.0,3.5,4,"mild profile, chocolaty, spice",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,1704,A. Morin,France,2015,Peru,Quilla,70.0,3.5,4,"grainy texture, cocoa, sweet",1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1676,A. Morin,France,2015,Togo,Atsane,70.0,3.0,4,"roasty, acidic, nutty",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,1676,A. Morin,France,2015,Togo,Kpime,70.0,2.75,4,"burnt wood, earthy, choco",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25,1876,A. Morin,France,2016,Sao tome,Agua Grande,63.0,3.75,4,"sweet, chocolatey, vegetal",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2206,A. Morin,France,2018,Peru,Absolu,63.0,3.75,4,"sweet, dairy, spice, cocoa",1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,2206,A. Morin,France,2018,Venezuela,Porcelana,70.0,3.5,4,"alluring aroma, powdery, nutty",1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,1462,Acalli,U.S.A,2015,Peru,"Chulucanas, El Platanal, batch 001",70.0,3.75,2,yellow fruit,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1470,Acalli,U.S.A,2015,Peru,"Tumbes, Norandino",70.0,3.75,2,"intense, nutty, cherry, cocoa",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
30,2470,Acalli,U.S.A,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70.0,3.5,2,"hot cocoa, rich, molasses",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
31,2462,Acalli,U.S.A,2020,Mexico,"Teapa, Tabasco, batch 2",74.0,3.25,2,"herbal, molasses, hammy",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88.0,3.5,3,"orange, floral, lemon",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
33,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72.0,3.5,3,cocoa and powerful tang,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80.0,3.25,3,spicy and candy-like,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60.0,2.75,3,"sweet, sublte strawberry",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2438,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70.0,3.0,2,"sandy, woody, spicy, sweet",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
37,2438,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70.0,2.75,2,"basic, sweet, cocoa, woody",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,2442,Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70.0,2.75,2,"sweet, cocoa, rubbery",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2438,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70.0,2.5,2,"unrefined, sweet, metallic",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70.0,3.0,4,"roasty, nutty, coffee",1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55.0,2.75,4,"sandy, sweet, banana cream",1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,316,Ah Cacao,Mexico,2009,Mexico,Tabasco,70.0,3.0,3,"gritty, spice, cocoa",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
43,502,Akesson's (Pralus),Switzerland,2010,Madagascar,"Madagascar, Ambolikapiky P.",75.0,2.75,4,"strong pepper, musty",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,508,Akesson's (Pralus),Switzerland,2010,Brazil,"Monte Alegre, D. Badero",75.0,2.75,4,"fatty, intense, woody",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
45,636,Akesson's (Pralus),Switzerland,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75.0,3.75,4,"hay, nut, berry",1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
46,1061,Alain Ducasse,France,2013,Venezuela,Chuao,75.0,2.5,5,"sandy, dirt, ashey",1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
47,1173,Alain Ducasse,France,2013,Peru,"Piura, Perou",75.0,2.5,5,"cardboard, dirt, roasty",1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,1215,Alain Ducasse,France,2014,Madagascar,Madagascar,75.0,3.0,5,"citrus, fatty, dairy",1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
49,1215,Alain Ducasse,France,2014,Trinidad,Trinite,65.0,2.75,6,"roasty, sweet, savory",1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1215,Alain Ducasse,France,2014,Vietnam,Vietnam,75.0,2.75,5,"nutty, roasty, odd dairy",1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
