,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,taste,cocoa_butter,vanilla_have_not_vanilla,vanilla,vanilla_have_vanilla,lecithin,salt,sugar,sweetener_without_sugar,nutty,sweet,cocoa,roasty,creamy,earthy,sandy,fatty,floral,intense,spicy,sour,molasses,woody,vanilla_taste,sticky,fruit,smokey,company_continent,origin_continent
0,2454,5150,United States,2019,Madagascar,"Bejofo Estate, batch 1",76.0,3.75,3,"cocoa, blackberry, full body",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,AF
1,2458,5150,United States,2019,Dominican republic,"Zorzal, batch 1",76.0,3.5,3,"cocoa, vegetal, savory",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2,2454,5150,United States,2019,Tanzania,"Kokoa Kamili, batch 1",76.0,3.25,3,"rich cocoa, fatty, bready",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,AF
3,797,A. Morin,France,2012,Peru,Peru,63.0,3.75,4,"fruity, melon, roasty",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,EU,SA
4,797,A. Morin,France,2012,Bolivia,Bolivia,70.0,3.5,4,"vegetal, nutty",1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,SA
5,1015,A. Morin,France,2013,Venezuela,Chuao,70.0,4.0,4,"oily, nut, caramel, raspberry",1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,EU,SA
6,1019,A. Morin,France,2013,Peru,Chanchamayo Province,63.0,4.0,3,"sweet, cocoa, tangerine",1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,SA
7,1011,A. Morin,France,2013,Ecuador,Equateur,70.0,3.75,4,"sandy, nutty, cocoa, fig",1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,EU,SA
8,1019,A. Morin,France,2013,Peru,Chanchamayo Province,70.0,3.5,4,"cocoa, sour, intense tangerine",1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,EU,SA
9,1011,A. Morin,France,2013,Brazil,Brazil,70.0,3.25,4,mild tobacco,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,SA
10,1015,A. Morin,France,2013,Papua new guinea,Papua New Guinea,70.0,3.25,4,"mild fruit, strong smoke",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,EU,OC
11,1019,A. Morin,France,2013,Peru,Piura,70.0,3.25,4,"green, nutty, cocoa",1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,SA
12,1011,A. Morin,France,2013,Madagascar,"Madagascar, Criollo",70.0,3.0,4,"sticky, red fruit, sour",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,EU,AF
13,1015,A. Morin,France,2013,Myanmar,Birmanie,70.0,3.0,4,"sticky, smokey, grass",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,EU,AS
14,1011,A. Morin,France,2013,Panama,Panama,70.0,2.75,4,"brief fruit note, earthy, nutty",1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,EU,NA
15,1015,A. Morin,France,2013,Colombia,Colombie,70.0,2.75,4,"burnt rubber, alkalyzed notes",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,SA
16,1319,A. Morin,France,2014,Peru,Pablino,70.0,4.0,4,"delicate, hazelnut, brownie",1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,SA
17,1319,A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",70.0,3.75,4,"astringent, nutty, chocolatey",1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,SA
18,1315,A. Morin,France,2014,Cuba,Cuba,70.0,3.5,4,"sliglty dry, papaya",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,EU,NA
19,1315,A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo",70.0,3.5,4,"nutty, mild choco, roasty",1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,SA
20,1315,A. Morin,France,2014,Venezuela,"Carenero, Criollo",70.0,2.75,4,"harsh, leather, earthy",1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,EU,SA
21,1680,A. Morin,France,2015,Togo,Akata,70.0,3.5,4,"mild profile, chocolaty, spice",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,EU,AF
22,1704,A. Morin,France,2015,Peru,Quilla,70.0,3.5,4,"grainy texture, cocoa, sweet",1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,SA
23,1676,A. Morin,France,2015,Togo,Atsane,70.0,3.0,4,"roasty, acidic, nutty",1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,EU,AF
24,1676,A. Morin,France,2015,Togo,Kpime,70.0,2.75,4,"burnt wood, earthy, choco",1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,EU,AF
25,1876,A. Morin,France,2016,Sao Tome and Principe,Agua Grande,63.0,3.75,4,"sweet, chocolatey, vegetal",1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU,AF
26,2206,A. Morin,France,2018,Peru,Absolu,63.0,3.75,4,"sweet, dairy, spice, cocoa",1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,EU,SA
27,2206,A. Morin,France,2018,Venezuela,Porcelana,70.0,3.5,4,"alluring aroma, powdery, nutty",1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,EU,SA
28,1462,Acalli,United States,2015,Peru,"Chulucanas, El Platanal, batch 001",70.0,3.75,2,yellow fruit,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,SA
29,1470,Acalli,United States,2015,Peru,"Tumbes, Norandino",70.0,3.75,2,"intense, nutty, cherry, cocoa",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,SA
30,2470,Acalli,United States,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70.0,3.5,2,"hot cocoa, rich, molasses",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,SA
